material,temperature_c,pressure_bar,ph,sulfur_ppm,flow_velocity_ms,service_years,corrosion_rate_mmpy
Carbon Steel,192.4,53.5,6.1,459,1.97,3,0.95
Carbon Steel,154.0,38.8,5.07,185,3.45,5,1.0
SS316,275.8,50.0,4.75,209,2.05,12,0.95
SS304,225.6,25.2,4.26,414,2.7,12,1.09
SS304,276.3,32.0,4.44,471,2.65,4,1.12
SS304,222.9,26.4,5.78,202,1.7,4,0.67
Carbon Steel,271.9,41.9,5.2,109,2.19,12,1.15
Inconel,201.6,28.7,5.49,120,4.23,4,0.63
Carbon Steel,165.5,47.7,5.31,224,3.2,13,1.05
Inconel,275.7,48.3,6.64,636,3.29,8,0.8
Alloy Steel,219.9,40.6,6.7,606,3.74,5,0.97
Carbon Steel,222.1,54.0,5.78,265,2.39,13,1.06
Carbon Steel,150.4,54.6,6.21,219,1.52,11,0.79
Carbon Steel,167.8,46.3,6.25,463,4.28,10,1.04
SS304,156.2,50.9,5.82,298,1.69,7,0.61
SS304,233.6,45.0,5.74,264,3.18,3,0.78
Inconel,156.7,46.4,6.18,436,3.81,7,0.59
Inconel,145.7,46.3,4.49,363,2.11,7,0.71
Carbon Steel,206.6,41.9,6.01,183,3.31,11,0.99
Inconel,168.4,53.3,5.76,516,4.14,10,0.74
SS304,253.1,44.0,6.47,582,2.06,14,0.87
Inconel,263.7,34.7,4.52,313,4.22,1,0.95
Alloy Steel,171.9,37.8,6.33,616,1.52,8,0.86
SS304,214.8,39.5,6.0,261,2.23,11,0.72
Alloy Steel,185.2,40.6,6.03,318,4.42,4,0.91
Inconel,174.6,45.9,6.05,188,4.49,11,0.59
SS316,225.3,40.1,4.33,267,4.22,3,0.98
Carbon Steel,235.3,40.9,5.36,431,3.28,7,1.21
SS304,246.6,32.1,6.09,320,3.4,6,0.8
Alloy Steel,195.8,49.5,6.28,190,3.02,13,0.83
SS316,260.2,34.8,4.77,526,3.93,4,1.09
SS316,230.3,30.2,6.0,332,4.31,1,0.76
SS304,234.6,47.1,4.74,424,3.59,7,1.05
SS304,232.4,49.5,5.64,417,2.23,14,0.89
SS316,265.6,52.0,5.85,303,2.55,3,0.77
Carbon Steel,259.9,37.1,6.51,610,4.31,4,1.19
Carbon Steel,265.8,43.2,4.22,160,3.49,13,1.37
Alloy Steel,179.7,34.2,5.46,369,4.48,4,1.01
